Chave:     Sentença:     Paragrafo:     Linha ocorrencia:     Posição na sentença:     Posição no paragrafo:     Aparições no texto:a 
-casou       3			     1192			     4541			     7	 		    32			      1
00       5			     1118			     4300			     9	 		    73			      1
070$000       1			     1123			     4320			     4	 		    4			      5			     1124			     4326			     28	 		    81			      4			     1174			     4471			     1	 		    33			      3
0s       11			     1345			     5094			     1	 		    163			      1
11       1			     1118			     4297			     19	 		    19			      2			     1118			     4297			     3	 		    22			      2
180$000       2			     1124			     4323			     22	 		    24			      1
1824       7			     1040			     4028			     19	 		    139			      1
1825       7			     1040			     4028			     21	 		    141			      1
1851       7			     909			     3521			     9	 		    110			      1
1857       2			     18			     95			     45	 		    62			      1			     74			     300			     8	 		    8			      2
1858       5			     909			     3520			     14	 		    85			      6			     1241			     4723			     16	 		    93			      2
1859       2			     768			     2945			     20	 		    25			      1			     779			     2988			     2	 		    2			      2
1860       2			     768			     2945			     22	 		    27			      1			     779			     2988			     4	 		    4			      2
1865       2			     1226			     4652			     3	 		    25			      1
1871       6			     1473			     5553			     18	 		    99			      1
1872       2			     1523			     5771			     5	 		    31			      1
1882       2			     691			     2608			     2	 		    16			      1
20-4-70       5			     1464			     5521			     26	 		    73			      1
22       2			     1118			     4298			     6	 		    25			      1
4004       5			     810			     3101			     4	 		    90			      1
484       2			     1118			     4298			     12	 		    31			      1
500       5			     1118			     4300			     11	 		    75			      1
58       2			     776			     2978			     8	 		    23			      1
70$000       2			     1124			     4323			     20	 		    22			      1
ab       5			     976			     3770			     14	 		    122			      1
abafadas       3			     81			     346			     20	 		    38			      1
abafado       3			     993			     3842			     17	 		    49			      1
abafando       2			     22			     105			     22	 		    29			      1
abafava       2			     921			     3568			     14	 		    23			      1
abaixo       2			     52			     209			     4	 		    20			      9			     56			     233			     32	 		    175			      1			     57			     235			     1	 		    1			      1			     58			     237			     1	 		    1			      1			     1556			     5920			     8	 		    8			      2			     1575			     5996			     17	 		    21			      6
abaixou       3			     620			     2343			     9	 		    38			      1
abalo       3			     437			     1703			     26	 		    60			      1			     922			     3575			     30	 		    30			      2
abalou       4			     924			     3585			     21	 		    67			      1
abanando       1			     1528			     5789			     28	 		    28			      1
abanava       8			     119			     513			     3	 		    138			      8			     202			     824			     4	 		    146			      3			     426			     1655			     14	 		    21			      3
abandone       2			     1516			     5738			     15	 		    16			      1
abane       1			     616			     2325			     4	 		    4			      1			     617			     2327			     1	 		    1			      2
abanou       1			     82			     349			     33	 		    33			      1			     614			     2320			     8	 		    8			      1			     928			     3600			     20	 		    20			      3
abarcar       4			     123			     538			     12	 		    36			      1
abatida       2			     374			     1454			     5	 		    10			      3			     548			     2124			     2	 		    47			      2
abatido       1			     924			     3582			     9	 		    9			      11			     1345			     5095			     10	 		    172			      3			     1471			     5543			     17	 		    30			      3
abatimento       3			     622			     2355			     10	 		    48			      1
abauladas       4			     161			     665			     12	 		    81			      1
abel       2			     95			     395			     26	 		    62			      1
abençoa       9			     1151			     4404			     22	 		    162			      1
abençoar       2			     837			     3201			     29	 		    52			      1
aberração       4			     995			     3852			     27	 		    82			      1
aberta       3			     1602			     6087			     20	 		    38			      1
abertas       1			     1039			     4012			     10	 		    10			      1
aberto       3			     437			     1703			     17	 		    51			      4			     441			     1725			     13	 		    64			      1			     689			     2600			     8	 		    8			      2			     899			     3470			     14	 		    31			      4			     1513			     5729			     4	 		    52			      5
abertos       2			     147			     613			     4	 		    23			      3			     149			     621			     15	 		    38			      6			     572			     2207			     7	 		    69			      4			     1483			     5586			     25	 		    63			      4
abismo       1			     1461			     5506			     33	 		    33			      1
abolir       1			     76			     318			     6	 		    6			      1
abominação       2			     114			     493			     16	 		    75			      1
abominações       1			     1463			     5511			     7	 		    7			      1
abomináveis       7			     746			     2849			     4	 		    85			      1
aborrece       1			     1007			     3891			     24	 		    24			      1
aborrecem       4			     76			     321			     6	 		    70			      1
aborrecer       4			     648			     2434			     11	 		    39			      2			     1065			     4132			     34	 		    39			      3			     1320			     4996			     23	 		    54			      3
aborrecer-me       2			     1235			     4696			     7	 		    28			      1
aborrecida       1			     224			     890			     9	 		    9			      5			     1017			     3934			     18	 		    78			      3			     1232			     4689			     5	 		    43			      3
aborrecido       9			     356			     1375			     7	 		    122			      4			     1256			     4788			     39	 		    118			      10			     1345			     5093			     3	 		    151			      1			     1519			     5752			     17	 		    17			      6			     1520			     5759			     5	 		    59			      5
aborrecimento       2			     935			     3623			     26	 		    63			      2			     1654			     6281			     5	 		    13			      2
aborrecíamos       12			     1605			     6117			     18	 		    260			      1
aborrecível       4			     87			     367			     16	 		    53			      2			     845			     3236			     8	 		    28			      2
abortado       1			     439			     1711			     20	 		    20			      1
abotoada       3			     1464			     5518			     5	 		    22			      1
abotoado       7			     56			     229			     23	 		    106			      1
abotoe       1			     917			     3559			     4	 		    4			      1
abra       3			     617			     2329			     20	 		    48			      1
abraão       3			     979			     3792			     2	 		    54			      1
abraçados       1			     1194			     4547			     28	 		    28			      1
abraçará       11			     465			     1823			     19	 		    94			      1
abraço       9			     673			     2541			     4	 		    53			      1
abraços       2			     1241			     4719			     14	 		    21			      1
abraçou-me       1			     665			     2510			     6	 		    6			      4			     1510			     5712			     14	 		    79			      3			     1567			     5974			     2	 		    35			      3
abraçá-lo       1			     1126			     4331			     16	 		    16			      2			     1649			     6256			     14	 		    27			      2
abre       3			     476			     1871			     1	 		    27			      4			     476			     1871			     2	 		    30			      2
abreviado       5			     685			     2587			     7	 		    28			      1
abri       1			     1044			     4042			     1	 		    1			      1			     1558			     5934			     4	 		    4			      2
abri-lo       3			     1516			     5739			     12	 		    30			      1
abri-los       2			     193			     783			     12	 		    41			      1
abria       1			     477			     1876			     16	 		    16			      6			     1531			     5807			     14	 		    148			      7			     1531			     5807			     3	 		    158			      3
abria-me       10			     513			     2009			     7	 		    157			      8			     1016			     3927			     24	 		    120			      2
abrigado       1			     647			     2429			     15	 		    15			      1
abril       1			     679			     2563			     20	 		    20			      2			     791			     3024			     8	 		    35			      2
abrimos       1			     1638			     6216			     1	 		    1			      1
abrindo       2			     673			     2538			     3	 		    8			      7			     732			     2790			     3	 		    92			      2
abrir       3			     81			     345			     5	 		    23			      1			     816			     3130			     28	 		    28			      3			     857			     3285			     12	 		    37			      4			     1531			     5806			     44	 		    110			      9			     1553			     5900			     3	 		    122			      4			     1563			     5959			     5	 		    34			      6
abrira       6			     87			     369			     20	 		    91			      3			     901			     3479			     15	 		    37			      2
abriu       2			     1040			     4022			     12	 		    45			      1			     1461			     5505			     8	 		    8			      7			     1520			     5761			     24	 		    83			      2			     1549			     5874			     7	 		    14			      1			     1575			     5996			     2	 		    2			      5
abriu-nos       6			     1226			     4655			     8	 		    87			      1
abrochado       4			     74			     303			     18	 		    62			      1
abrochou       1			     423			     1642			     19	 		    19			      1
abríamos       1			     1534			     5825			     30	 		    30			      1
abríssemos       2			     1635			     6210			     12	 		    18			      1
absoluta       3			     618			     2335			     19	 		    37			      1
absolutamente       4			     96			     407			     28	 		    99			      1			     194			     787			     11	 		    11			      1			     958			     3682			     22	 		    22			      1			     976			     3765			     30	 		    30			      4			     978			     3782			     17	 		    46			      5
absolve       9			     1151			     4404			     20	 		    160			      1
absolvido       1			     954			     3672			     6	 		    6			      1
absolvição       1			     610			     2309			     19	 		    19			      1			     954			     3672			     4	 		    4			      7			     1142			     4372			     11	 		    86			      3
abusa       5			     95			     397			     6	 		    94			      1
abusava       4			     56			     226			     14	 		    48			      1
abuso       4			     439			     1712			     2	 		    49			      1
abóbada       6			     276			     1101			     18	 		    104			      1
acaba       4			     857			     3288			     52	 		    98			      1			     1439			     5408			     2	 		    2			      2
acabada       1			     96			     401			     14	 		    14			      1
acabadas       1			     1325			     5015			     19	 		    19			      1
acabado       6			     476			     1873			     7	 		    55			      2			     885			     3417			     10	 		    27			      7			     1431			     5373			     19	 		    111			      3
acabam       2			     979			     3791			     6	 		    33			      1			     1437			     5402			     15	 		    15			      2
acabamos       6			     1510			     5714			     9	 		    118			      1
acabando       1			     344			     1321			     8	 		    8			      7			     417			     1616			     6	 		    96			      2			     770			     2950			     20	 		    32			      3
acabar       2			     333			     1287			     14	 		    21			      10			     408			     1582			     10	 		    144			      1			     427			     1658			     11	 		    11			      1			     498			     1947			     10	 		    10			      6			     501			     1966			     17	 		    126			      4			     642			     2414			     2	 		    34			      2			     721			     2722			     4	 		    15			      2			     732			     2787			     26	 		    37			      2			     820			     3144			     18	 		    23			      2			     908			     3506			     15	 		    56			      1			     958			     3681			     11	 		    11			      3			     972			     3736			     22	 		    52			      3			     986			     3815			     7	 		    13			      1			     1152			     4408			     7	 		    7			      3			     1214			     4606			     7	 		    17			      2			     1222			     4637			     33	 		    35			      4			     1437			     5403			     11	 		    49			      1			     1498			     5649			     5	 		    5			      3			     1563			     5959			     10	 		    28			      1			     1620			     6165			     13	 		    13			      20
acabaram       2			     843			     3225			     19	 		    52			      4			     1437			     5404			     15	 		    53			      2
acabaria       1			     535			     2062			     13	 		    13			      1
acabas       1			     811			     3109			     5	 		    5			      1
acabasse       4			     147			     614			     9	 		    50			      2			     477			     1878			     31	 		    47			      6			     501			     1967			     21	 		    130			      4			     1553			     5897			     14	 		    53			      4			     1608			     6130			     15	 		    65			      5
acabassem       4			     836			     3195			     10	 		    31			      1			     1681			     6383			     44	 		    44			      2
acabava       1			     47			     189			     18	 		    18			      6			     63			     261			     11	 		    123			      14			     130			     563			     10	 		    180			      2			     214			     862			     14	 		    34			      2			     372			     1447			     7	 		    13			      1			     442			     1729			     21	 		    21			      1			     722			     2726			     36	 		    36			      2			     771			     2958			     16	 		    82			      6			     845			     3240			     10	 		    93			      2			     883			     3409			     14	 		    23			      4			     897			     3463			     8	 		    46			      1			     1159			     4429			     7	 		    7			      3			     1490			     5621			     11	 		    53			      2			     1588			     6034			     24	 		    52			      3			     1602			     6086			     6	 		    24			      3			     1654			     6283			     9	 		    38			      16
acabavam       9			     119			     516			     51	 		    216			      1
acabei       1			     6			     15			     3	 		    3			      13			     417			     1623			     2	 		    215			      3			     498			     1951			     14	 		    73			      4			     551			     2137			     9	 		    71			      1			     634			     2389			     13	 		    13			      1			     822			     3150			     8	 		    8			      5			     1649			     6257			     1	 		    49			      7
acabemos       1			     1564			     5964			     1	 		    1			      1
acabo       4			     1185			     4506			     18	 		    63			      1			     1344			     5079			     11	 		    11			      2
